Disaster Group,Disaster Type,Region,Year of Occurrence,Total Deaths
Natural,Extreme temperature,Europe,2000,0
Natural,Storm,Americas,2000,0
Natural,Epidemic,Africa,2000,300
Natural,Epidemic,Europe,2000,0
Natural,Flood,Americas,2000,0
Natural,Storm,Asia,2000,33
Natural,Extreme temperature,Asia,2000,24
Natural,Flood,Europe,2000,0
Natural,Flood,Europe,2000,1
Natural,Flood,Europe,2000,2
Natural,Flood,Europe,2000,16
Natural,Storm,Americas,2000,0
Natural,Storm,Asia,2000,3
Natural,Wildfire,Americas,2000,0
Natural,Flood,Africa,2000,0
Natural,Epidemic,Africa,2000,10
Natural,Epidemic,Africa,2000,22
Natural,Epidemic,Africa,2000,38
Natural,Epidemic,Asia,2000,0
Natural,Flood,Asia,2000,43
Natural,Flood,Asia,2000,11
Natural,Flood,Americas,2000,15
Natural,Flood,Asia,2000,33
Natural,Extreme temperature,Europe,2000,27
Natural,Extreme temperature,Europe,2000,6
Natural,Extreme temperature,Asia,2000,11
Natural,Extreme temperature,Europe,2000,7
Natural,Extreme temperature,Europe,2000,3
Natural,Earthquake,Americas,2000,7
Natural,Epidemic,Asia,2000,44
Natural,Epidemic,Africa,2000,0
Natural,Flood,Europe,2000,0
Natural,Storm,Asia,2000,11
Natural,Storm,Asia,2000,75
Natural,Extreme temperature,Asia,2000,5
Natural,Flood,Africa,2000,60
Natural,Flood,Asia,2000,0
Natural,Infestation,Americas,2000,0
Natural,Wildfire,Americas,2000,0
Natural,Wildfire,Europe,2000,7
Natural,Flood,Asia,2000,460
Natural,Extreme temperature,Americas,2000,6
Natural,Storm,Americas,2000,11
Natural,Extreme temperature,Americas,2000,15
Natural,Extreme temperature,Americas,2000,7
Natural,Extreme temperature,Americas,2000,0
Natural,Epidemic,Africa,2000,163
Natural,Storm,Asia,2000,11
Natural,Flood,Asia,2000,54
Natural,Storm,Europe,2000,2
Natural,Earthquake,Asia,2000,1
Natural,Epidemic,Africa,2000,27
Natural,Epidemic,Africa,2000,4
Natural,Extreme temperature,Americas,2000,35
Natural,Flood,Asia,2000,347
Natural,Flood,Asia,2000,13
Natural,Flood,Asia,2000,130
Natural,Flood,Asia,2000,867
Natural,Flood,Asia,2000,47
Natural,Storm,Asia,2000,4
Natural,Storm,Asia,2000,0
Natural,Earthquake,Asia,2000,0
Natural,Wildfire,Americas,2000,0
Natural,Wildfire,Europe,2000,2
Natural,Extreme temperature,Americas,2000,7
Natural,Epidemic,Asia,2000,27
Natural,Epidemic,Asia,2000,89
Natural,Epidemic,Africa,2000,40
Natural,Storm,Americas,2000,1
Natural,Storm,Africa,2000,0
Natural,Wildfire,Americas,2000,14
Natural,Epidemic,Asia,2000,21
Natural,Extreme temperature,Asia,2000,0
Natural,Flood,Asia,2000,203
Natural,Extreme temperature,Asia,2000,0
Natural,Flood,Africa,2000,3
Natural,Flood,Asia,2000,144
Natural,Flood,Europe,2000,2
Natural,Earthquake,Europe,2000,0
Natural,Flood,Asia,2000,200
Natural,Flood,Africa,2000,7
Natural,Extreme temperature,Americas,2000,8
Natural,Extreme temperature,Africa,2000,0
Natural,Epidemic,Europe,2000,2
Natural,Epidemic,Africa,2000,19
Natural,Flood,Africa,2000,0
Natural,Flood,Africa,2000,9
Natural,Flood,Asia,2000,8
Natural,Flood,Americas,2000,0
